State,Season,MMWR Week,Week ending date,Age Category,Sex,Race,Rate,Cumulative Rate
Entire Network (RSV-NET),2022-2023,40,10/08/2022 12:00:00 AM,Overall,Overall,Overall,1.5,1.5
Entire Network (RSV-NET),2022-2023,41,10/15/2022 12:00:00 AM,Overall,Overall,Overall,2.5,4
Entire Network (RSV-NET),2022-2023,42,10/22/2022 12:00:00 AM,Overall,Overall,Overall,2.8,6.8
Entire Network (RSV-NET),2022-2023,43,10/29/2022 12:00:00 AM,Overall,Overall,Overall,3.5,10.4
Entire Network (RSV-NET),2022-2023,44,11/05/2022 12:00:00 AM,Overall,Overall,Overall,4.5,14.9
Entire Network (RSV-NET),2022-2023,45,11/12/2022 12:00:00 AM,Overall,Overall,Overall,5.1,19.9
Entire Network (RSV-NET),2022-2023,46,11/19/2022 12:00:00 AM,Overall,Overall,Overall,4.6,24.6
Entire Network (RSV-NET),2022-2023,47,11/26/2022 12:00:00 AM,Overall,Overall,Overall,4,28.6
Entire Network (RSV-NET),2022-2023,48,12/03/2022 12:00:00 AM,Overall,Overall,Overall,4.2,32.8
Entire Network (RSV-NET),2022-2023,49,12/10/2022 12:00:00 AM,Overall,Overall,Overall,3.3,36.1
Entire Network (RSV-NET),2022-2023,50,12/17/2022 12:00:00 AM,Overall,Overall,Overall,2.5,38.6
Entire Network (RSV-NET),2022-2023,51,12/24/2022 12:00:00 AM,Overall,Overall,Overall,1.7,40.3
Entire Network (RSV-NET),2022-2023,52,12/31/2022 12:00:00 AM,Overall,Overall,Overall,1.6,42
Entire Network (RSV-NET),2022-2023,1,01/07/2023 12:00:00 AM,Overall,Overall,Overall,1.4,43.4
Entire Network (RSV-NET),2022-2023,2,01/14/2023 12:00:00 AM,Overall,Overall,Overall,1.1,44.5
Entire Network (RSV-NET),2022-2023,3,01/21/2023 12:00:00 AM,Overall,Overall,Overall,0.8,45.3
Entire Network (RSV-NET),2022-2023,4,01/28/2023 12:00:00 AM,Overall,Overall,Overall,0.8,46.1
Entire Network (RSV-NET),2022-2023,5,02/04/2023 12:00:00 AM,Overall,Overall,Overall,0.5,46.6
Entire Network (RSV-NET),2022-2023,6,02/11/2023 12:00:00 AM,Overall,Overall,Overall,0.5,47.1
Entire Network (RSV-NET),2022-2023,7,02/18/2023 12:00:00 AM,Overall,Overall,Overall,0.5,47.6
Entire Network (RSV-NET),2022-2023,8,02/25/2023 12:00:00 AM,Overall,Overall,Overall,0.3,48
Entire Network (RSV-NET),2022-2023,9,03/04/2023 12:00:00 AM,Overall,Overall,Overall,0.3,48.3
Entire Network (RSV-NET),2022-2023,10,03/11/2023 12:00:00 AM,Overall,Overall,Overall,0.3,48.6
Entire Network (RSV-NET),2022-2023,11,03/18/2023 12:00:00 AM,Overall,Overall,Overall,0.3,48.9
Entire Network (RSV-NET),2022-2023,12,03/25/2023 12:00:00 AM,Overall,Overall,Overall,0.2,49.1
Entire Network (RSV-NET),2022-2023,13,04/01/2023 12:00:00 AM,Overall,Overall,Overall,0.2,49.2
Entire Network (RSV-NET),2022-2023,14,04/08/2023 12:00:00 AM,Overall,Overall,Overall,0.1,49.4
Entire Network (RSV-NET),2022-2023,15,04/15/2023 12:00:00 AM,Overall,Overall,Overall,0.1,49.5
Entire Network (RSV-NET),2022-2023,16,04/22/2023 12:00:00 AM,Overall,Overall,Overall,0.1,49.6
Entire Network (RSV-NET),2022-2023,17,04/29/2023 12:00:00 AM,Overall,Overall,Overall,0.1,49.7
Entire Network (RSV-NET),2022-2023,18,05/06/2023 12:00:00 AM,Overall,Overall,Overall,0.1,49.8
Entire Network (RSV-NET),2022-2023,19,05/13/2023 12:00:00 AM,Overall,Overall,Overall,0.1,49.8
Entire Network (RSV-NET),2022-2023,20,05/20/2023 12:00:00 AM,Overall,Overall,Overall,0,49.9
Entire Network (RSV-NET),2022-2023,21,05/27/2023 12:00:00 AM,Overall,Overall,Overall,0.1,49.9
Entire Network (RSV-NET),2022-2023,22,06/03/2023 12:00:00 AM,Overall,Overall,Overall,0,50
Entire Network (RSV-NET),2022-2023,23,06/10/2023 12:00:00 AM,Overall,Overall,Overall,0.1,50.1
Entire Network (RSV-NET),2022-2023,24,06/17/2023 12:00:00 AM,Overall,Overall,Overall,0,50.1
Entire Network (RSV-NET),2022-2023,25,06/24/2023 12:00:00 AM,Overall,Overall,Overall,0,50.2
Entire Network (RSV-NET),2022-2023,26,07/01/2023 12:00:00 AM,Overall,Overall,Overall,0,50.2
Entire Network (RSV-NET),2022-2023,27,07/08/2023 12:00:00 AM,Overall,Overall,Overall,0,50.2
Entire Network (RSV-NET),2022-2023,28,07/15/2023 12:00:00 AM,Overall,Overall,Overall,0,50.3
Entire Network (RSV-NET),2022-2023,29,07/22/2023 12:00:00 AM,Overall,Overall,Overall,0.1,50.3
Entire Network (RSV-NET),2022-2023,30,07/29/2023 12:00:00 AM,Overall,Overall,Overall,0.1,50.4
Entire Network (RSV-NET),2022-2023,31,08/05/2023 12:00:00 AM,Overall,Overall,Overall,0.1,50.5
Entire Network (RSV-NET),2022-2023,32,08/12/2023 12:00:00 AM,Overall,Overall,Overall,0.1,50.6
Entire Network (RSV-NET),2022-2023,33,08/19/2023 12:00:00 AM,Overall,Overall,Overall,0.2,50.8
Entire Network (RSV-NET),2022-2023,34,08/26/2023 12:00:00 AM,Overall,Overall,Overall,0.2,50.9
Entire Network (RSV-NET),2022-2023,35,09/02/2023 12:00:00 AM,Overall,Overall,Overall,0.2,51.2
Entire Network (RSV-NET),2022-2023,36,09/09/2023 12:00:00 AM,Overall,Overall,Overall,0.3,51.5
Entire Network (RSV-NET),2022-2023,37,09/16/2023 12:00:00 AM,Overall,Overall,Overall,0.4,51.9
Entire Network (RSV-NET),2022-2023,38,09/23/2023 12:00:00 AM,Overall,Overall,Overall,0.5,52.4
Entire Network (RSV-NET),2022-2023,39,09/30/2023 12:00:00 AM,Overall,Overall,Overall,0.6,53
Entire Network (RSV-NET),2023-2024,40,10/07/2023 12:00:00 AM,Overall,Overall,Overall,0.7,0.7
Entire Network (RSV-NET),2023-2024,41,10/14/2023 12:00:00 AM,Overall,Overall,Overall,0.8,1.5
Entire Network (RSV-NET),2023-2024,42,10/21/2023 12:00:00 AM,Overall,Overall,Overall,0.8,2.4
California,2022-2023,40,10/08/2022 12:00:00 AM,Overall,Overall,Overall,0.4,0.4
California,2022-2023,41,10/15/2022 12:00:00 AM,Overall,Overall,Overall,0.8,1.2
California,2022-2023,42,10/22/2022 12:00:00 AM,Overall,Overall,Overall,1.1,2.3
California,2022-2023,43,10/29/2022 12:00:00 AM,Overall,Overall,Overall,0.8,3.2
California,2022-2023,44,11/05/2022 12:00:00 AM,Overall,Overall,Overall,1.3,4.5
California,2022-2023,45,11/12/2022 12:00:00 AM,Overall,Overall,Overall,2.6,7.1
California,2022-2023,46,11/19/2022 12:00:00 AM,Overall,Overall,Overall,2.3,9.4
California,2022-2023,47,11/26/2022 12:00:00 AM,Overall,Overall,Overall,2.3,11.6
California,2022-2023,48,12/03/2022 12:00:00 AM,Overall,Overall,Overall,2.6,14.2
California,2022-2023,49,12/10/2022 12:00:00 AM,Overall,Overall,Overall,2.5,16.7
California,2022-2023,50,12/17/2022 12:00:00 AM,Overall,Overall,Overall,1.8,18.6
California,2022-2023,51,12/24/2022 12:00:00 AM,Overall,Overall,Overall,1.6,20.1
California,2022-2023,52,12/31/2022 12:00:00 AM,Overall,Overall,Overall,1.5,21.7
California,2022-2023,1,01/07/2023 12:00:00 AM,Overall,Overall,Overall,1.4,23
California,2022-2023,2,01/14/2023 12:00:00 AM,Overall,Overall,Overall,1.2,24.2
California,2022-2023,3,01/21/2023 12:00:00 AM,Overall,Overall,Overall,0.5,24.7
California,2022-2023,4,01/28/2023 12:00:00 AM,Overall,Overall,Overall,1,25.7
California,2022-2023,5,02/04/2023 12:00:00 AM,Overall,Overall,Overall,0.4,26.1
California,2022-2023,6,02/11/2023 12:00:00 AM,Overall,Overall,Overall,0.7,26.8
California,2022-2023,7,02/18/2023 12:00:00 AM,Overall,Overall,Overall,0.7,27.5
California,2022-2023,8,02/25/2023 12:00:00 AM,Overall,Overall,Overall,0.4,27.9
California,2022-2023,9,03/04/2023 12:00:00 AM,Overall,Overall,Overall,0.2,28.1
California,2022-2023,10,03/11/2023 12:00:00 AM,Overall,Overall,Overall,0.3,28.4
California,2022-2023,11,03/18/2023 12:00:00 AM,Overall,Overall,Overall,0.4,28.8
California,2022-2023,12,03/25/2023 12:00:00 AM,Overall,Overall,Overall,0.2,29
California,2022-2023,13,04/01/2023 12:00:00 AM,Overall,Overall,Overall,0.1,29.2
California,2022-2023,14,04/08/2023 12:00:00 AM,Overall,Overall,Overall,0.1,29.3
California,2022-2023,15,04/15/2023 12:00:00 AM,Overall,Overall,Overall,0.1,29.4
California,2022-2023,16,04/22/2023 12:00:00 AM,Overall,Overall,Overall,0,29.4
California,2022-2023,17,04/29/2023 12:00:00 AM,Overall,Overall,Overall,0,29.4
California,2022-2023,18,05/06/2023 12:00:00 AM,Overall,Overall,Overall,0.1,29.5
California,2022-2023,19,05/13/2023 12:00:00 AM,Overall,Overall,Overall,0,29.5
California,2022-2023,20,05/20/2023 12:00:00 AM,Overall,Overall,Overall,0,29.5
California,2022-2023,21,05/27/2023 12:00:00 AM,Overall,Overall,Overall,0.1,29.6
California,2022-2023,22,06/03/2023 12:00:00 AM,Overall,Overall,Overall,0.1,29.7
California,2022-2023,23,06/10/2023 12:00:00 AM,Overall,Overall,Overall,0.1,29.8
California,2022-2023,24,06/17/2023 12:00:00 AM,Overall,Overall,Overall,0,29.8
California,2022-2023,25,06/24/2023 12:00:00 AM,Overall,Overall,Overall,0,29.8
California,2022-2023,26,07/01/2023 12:00:00 AM,Overall,Overall,Overall,0.1,29.9
California,2022-2023,27,07/08/2023 12:00:00 AM,Overall,Overall,Overall,0.1,29.9
California,2022-2023,28,07/15/2023 12:00:00 AM,Overall,Overall,Overall,0,29.9
California,2022-2023,29,07/22/2023 12:00:00 AM,Overall,Overall,Overall,0.1,30
California,2022-2023,30,07/29/2023 12:00:00 AM,Overall,Overall,Overall,0.1,30
California,2022-2023,31,08/05/2023 12:00:00 AM,Overall,Overall,Overall,0,30.1
California,2022-2023,32,08/12/2023 12:00:00 AM,Overall,Overall,Overall,0.1,30.2
California,2022-2023,33,08/19/2023 12:00:00 AM,Overall,Overall,Overall,0,30.2
California,2022-2023,34,08/26/2023 12:00:00 AM,Overall,Overall,Overall,0.1,30.3
California,2022-2023,35,09/02/2023 12:00:00 AM,Overall,Overall,Overall,0,30.3
California,2022-2023,36,09/09/2023 12:00:00 AM,Overall,Overall,Overall,0.2,30.5
California,2022-2023,37,09/16/2023 12:00:00 AM,Overall,Overall,Overall,0.3,30.8
California,2022-2023,38,09/23/2023 12:00:00 AM,Overall,Overall,Overall,0.1,30.9
California,2022-2023,39,09/30/2023 12:00:00 AM,Overall,Overall,Overall,0.2,31.1
Colorado,2022-2023,40,10/08/2022 12:00:00 AM,Overall,Overall,Overall,1.7,1.7
Colorado,2022-2023,41,10/15/2022 12:00:00 AM,Overall,Overall,Overall,2.3,4
Colorado,2022-2023,42,10/22/2022 12:00:00 AM,Overall,Overall,Overall,4.2,8.2
Colorado,2022-2023,43,10/29/2022 12:00:00 AM,Overall,Overall,Overall,4.6,12.8
Colorado,2022-2023,44,11/05/2022 12:00:00 AM,Overall,Overall,Overall,6.9,19.7
Colorado,2022-2023,45,11/12/2022 12:00:00 AM,Overall,Overall,Overall,11.4,31.1
Colorado,2022-2023,46,11/19/2022 12:00:00 AM,Overall,Overall,Overall,10.1,41.2
Colorado,2022-2023,47,11/26/2022 12:00:00 AM,Overall,Overall,Overall,10.3,51.5
Colorado,2022-2023,48,12/03/2022 12:00:00 AM,Overall,Overall,Overall,8.8,60.3
Colorado,2022-2023,49,12/10/2022 12:00:00 AM,Overall,Overall,Overall,6.5,66.8
Colorado,2022-2023,50,12/17/2022 12:00:00 AM,Overall,Overall,Overall,5.1,71.9
Colorado,2022-2023,51,12/24/2022 12:00:00 AM,Overall,Overall,Overall,3.1,74.9
Colorado,2022-2023,52,12/31/2022 12:00:00 AM,Overall,Overall,Overall,2.6,77.5
Colorado,2022-2023,1,01/07/2023 12:00:00 AM,Overall,Overall,Overall,2.3,79.9
Colorado,2022-2023,2,01/14/2023 12:00:00 AM,Overall,Overall,Overall,1.6,81.5
Colorado,2022-2023,3,01/21/2023 12:00:00 AM,Overall,Overall,Overall,1.7,83.2
Colorado,2022-2023,4,01/28/2023 12:00:00 AM,Overall,Overall,Overall,1.2,84.4
Colorado,2022-2023,5,02/04/2023 12:00:00 AM,Overall,Overall,Overall,0.8,85.2
Colorado,2022-2023,6,02/11/2023 12:00:00 AM,Overall,Overall,Overall,0.8,86
Colorado,2022-2023,7,02/18/2023 12:00:00 AM,Overall,Overall,Overall,0.8,86.8
Colorado,2022-2023,8,02/25/2023 12:00:00 AM,Overall,Overall,Overall,0.6,87.4
Colorado,2022-2023,9,03/04/2023 12:00:00 AM,Overall,Overall,Overall,0.3,87.7
Colorado,2022-2023,10,03/11/2023 12:00:00 AM,Overall,Overall,Overall,0.5,88.2
Colorado,2022-2023,11,03/18/2023 12:00:00 AM,Overall,Overall,Overall,0.2,88.3
Colorado,2022-2023,12,03/25/2023 12:00:00 AM,Overall,Overall,Overall,0.3,88.7
Colorado,2022-2023,13,04/01/2023 12:00:00 AM,Overall,Overall,Overall,0.3,88.9
Colorado,2022-2023,14,04/08/2023 12:00:00 AM,Overall,Overall,Overall,0.1,89.1
Colorado,2022-2023,15,04/15/2023 12:00:00 AM,Overall,Overall,Overall,0.1,89.2
Colorado,2022-2023,16,04/22/2023 12:00:00 AM,Overall,Overall,Overall,0.1,89.4
Colorado,2022-2023,17,04/29/2023 12:00:00 AM,Overall,Overall,Overall,0.1,89.4
Colorado,2022-2023,18,05/06/2023 12:00:00 AM,Overall,Overall,Overall,0.1,89.5
Colorado,2022-2023,19,05/13/2023 12:00:00 AM,Overall,Overall,Overall,0.1,89.6
Colorado,2022-2023,20,05/20/2023 12:00:00 AM,Overall,Overall,Overall,0,89.6
Colorado,2022-2023,21,05/27/2023 12:00:00 AM,Overall,Overall,Overall,0.1,89.7
Colorado,2022-2023,22,06/03/2023 12:00:00 AM,Overall,Overall,Overall,0,89.7
Colorado,2022-2023,23,06/10/2023 12:00:00 AM,Overall,Overall,Overall,0,89.7
Colorado,2022-2023,24,06/17/2023 12:00:00 AM,Overall,Overall,Overall,0,89.8
Colorado,2022-2023,25,06/24/2023 12:00:00 AM,Overall,Overall,Overall,0,89.8
Colorado,2022-2023,26,07/01/2023 12:00:00 AM,Overall,Overall,Overall,0,89.8
Colorado,2022-2023,27,07/08/2023 12:00:00 AM,Overall,Overall,Overall,0,89.8
Colorado,2022-2023,28,07/15/2023 12:00:00 AM,Overall,Overall,Overall,0,89.8
Colorado,2022-2023,29,07/22/2023 12:00:00 AM,Overall,Overall,Overall,0,89.9
Colorado,2022-2023,30,07/29/2023 12:00:00 AM,Overall,Overall,Overall,0.1,89.9
Colorado,2022-2023,31,08/05/2023 12:00:00 AM,Overall,Overall,Overall,0.1,90
Colorado,2022-2023,32,08/12/2023 12:00:00 AM,Overall,Overall,Overall,0.1,90.1
Colorado,2022-2023,33,08/19/2023 12:00:00 AM,Overall,Overall,Overall,0,90.1
Colorado,2022-2023,34,08/26/2023 12:00:00 AM,Overall,Overall,Overall,0,90.1
Colorado,2022-2023,35,09/02/2023 12:00:00 AM,Overall,Overall,Overall,0,90.1
Colorado,2022-2023,36,09/09/2023 12:00:00 AM,Overall,Overall,Overall,0,90.2
Colorado,2022-2023,37,09/16/2023 12:00:00 AM,Overall,Overall,Overall,0.1,90.3
Colorado,2022-2023,38,09/23/2023 12:00:00 AM,Overall,Overall,Overall,0.1,90.4
Colorado,2022-2023,39,09/30/2023 12:00:00 AM,Overall,Overall,Overall,0.2,90.6
Connecticut,2022-2023,40,10/08/2022 12:00:00 AM,Overall,Overall,Overall,2.2,2.2
Connecticut,2022-2023,41,10/15/2022 12:00:00 AM,Overall,Overall,Overall,4.1,6.3
Connecticut,2022-2023,42,10/22/2022 12:00:00 AM,Overall,Overall,Overall,4,10.4
Connecticut,2022-2023,43,10/29/2022 12:00:00 AM,Overall,Overall,Overall,5.3,15.7
Connecticut,2022-2023,44,11/05/2022 12:00:00 AM,Overall,Overall,Overall,5.1,20.8
Connecticut,2022-2023,45,11/12/2022 12:00:00 AM,Overall,Overall,Overall,5.6,26.4
Connecticut,2022-2023,46,11/19/2022 12:00:00 AM,Overall,Overall,Overall,3.5,29.9
Connecticut,2022-2023,47,11/26/2022 12:00:00 AM,Overall,Overall,Overall,4,33.9
Connecticut,2022-2023,48,12/03/2022 12:00:00 AM,Overall,Overall,Overall,3.4,37.3
Connecticut,2022-2023,49,12/10/2022 12:00:00 AM,Overall,Overall,Overall,2.8,40.1
Connecticut,2022-2023,50,12/17/2022 12:00:00 AM,Overall,Overall,Overall,2.2,42.2
Connecticut,2022-2023,51,12/24/2022 12:00:00 AM,Overall,Overall,Overall,1,43.2
Connecticut,2022-2023,52,12/31/2022 12:00:00 AM,Overall,Overall,Overall,1.6,44.8
Connecticut,2022-2023,1,01/07/2023 12:00:00 AM,Overall,Overall,Overall,1.2,46
Connecticut,2022-2023,2,01/14/2023 12:00:00 AM,Overall,Overall,Overall,0.9,46.9
Connecticut,2022-2023,3,01/21/2023 12:00:00 AM,Overall,Overall,Overall,1.2,48
Connecticut,2022-2023,4,01/28/2023 12:00:00 AM,Overall,Overall,Overall,0.6,48.6
Connecticut,2022-2023,5,02/04/2023 12:00:00 AM,Overall,Overall,Overall,0.4,49
Connecticut,2022-2023,6,02/11/2023 12:00:00 AM,Overall,Overall,Overall,0.1,49.1
Connecticut,2022-2023,7,02/18/2023 12:00:00 AM,Overall,Overall,Overall,1.2,50.3
Connecticut,2022-2023,8,02/25/2023 12:00:00 AM,Overall,Overall,Overall,0.2,50.5
Connecticut,2022-2023,9,03/04/2023 12:00:00 AM,Overall,Overall,Overall,0.7,51.2
Connecticut,2022-2023,10,03/11/2023 12:00:00 AM,Overall,Overall,Overall,0.7,51.9
Connecticut,2022-2023,11,03/18/2023 12:00:00 AM,Overall,Overall,Overall,0.5,52.4
Connecticut,2022-2023,12,03/25/2023 12:00:00 AM,Overall,Overall,Overall,0.1,52.5
Connecticut,2022-2023,13,04/01/2023 12:00:00 AM,Overall,Overall,Overall,0,52.5
Connecticut,2022-2023,14,04/08/2023 12:00:00 AM,Overall,Overall,Overall,0.3,52.8
Connecticut,2022-2023,15,04/15/2023 12:00:00 AM,Overall,Overall,Overall,0,52.8
Connecticut,2022-2023,16,04/22/2023 12:00:00 AM,Overall,Overall,Overall,0.1,52.9
Connecticut,2022-2023,17,04/29/2023 12:00:00 AM,Overall,Overall,Overall,0.1,53
Connecticut,2022-2023,18,05/06/2023 12:00:00 AM,Overall,Overall,Overall,0.2,53.2
Connecticut,2022-2023,19,05/13/2023 12:00:00 AM,Overall,Overall,Overall,0.1,53.3
Connecticut,2022-2023,20,05/20/2023 12:00:00 AM,Overall,Overall,Overall,0,53.3
Connecticut,2022-2023,21,05/27/2023 12:00:00 AM,Overall,Overall,Overall,0,53.3
Connecticut,2022-2023,22,06/03/2023 12:00:00 AM,Overall,Overall,Overall,0,53.3
Connecticut,2022-2023,23,06/10/2023 12:00:00 AM,Overall,Overall,Overall,0,53.3
Connecticut,2022-2023,24,06/17/2023 12:00:00 AM,Overall,Overall,Overall,0,53.3
Connecticut,2022-2023,25,06/24/2023 12:00:00 AM,Overall,Overall,Overall,0,53.3
Connecticut,2022-2023,26,07/01/2023 12:00:00 AM,Overall,Overall,Overall,0,53.3
Connecticut,2022-2023,27,07/08/2023 12:00:00 AM,Overall,Overall,Overall,0,53.3
Connecticut,2022-2023,28,07/15/2023 12:00:00 AM,Overall,Overall,Overall,0,53.3
Connecticut,2022-2023,29,07/22/2023 12:00:00 AM,Overall,Overall,Overall,0.1,53.4
Connecticut,2022-2023,30,07/29/2023 12:00:00 AM,Overall,Overall,Overall,0.1,53.5
Connecticut,2022-2023,31,08/05/2023 12:00:00 AM,Overall,Overall,Overall,0.1,53.6
Connecticut,2022-2023,32,08/12/2023 12:00:00 AM,Overall,Overall,Overall,0,53.6
Connecticut,2022-2023,33,08/19/2023 12:00:00 AM,Overall,Overall,Overall,0,53.6
Connecticut,2022-2023,34,08/26/2023 12:00:00 AM,Overall,Overall,Overall,0.2,53.8
Connecticut,2022-2023,35,09/02/2023 12:00:00 AM,Overall,Overall,Overall,0.2,54
Connecticut,2022-2023,36,09/09/2023 12:00:00 AM,Overall,Overall,Overall,0.2,54.2
Connecticut,2022-2023,37,09/16/2023 12:00:00 AM,Overall,Overall,Overall,0,54.2
Connecticut,2022-2023,38,09/23/2023 12:00:00 AM,Overall,Overall,Overall,0.3,54.5
Connecticut,2022-2023,39,09/30/2023 12:00:00 AM,Overall,Overall,Overall,0.2,54.7
Georgia,2022-2023,40,10/08/2022 12:00:00 AM,Overall,Overall,Overall,2.4,2.4
Georgia,2022-2023,41,10/15/2022 12:00:00 AM,Overall,Overall,Overall,2.4,4.8
Georgia,2022-2023,42,10/22/2022 12:00:00 AM,Overall,Overall,Overall,1.9,6.6
Georgia,2022-2023,43,10/29/2022 12:00:00 AM,Overall,Overall,Overall,1.6,8.3
Georgia,2022-2023,44,11/05/2022 12:00:00 AM,Overall,Overall,Overall,1.6,9.9
Georgia,2022-2023,45,11/12/2022 12:00:00 AM,Overall,Overall,Overall,1.2,11.1
Georgia,2022-2023,46,11/19/2022 12:00:00 AM,Overall,Overall,Overall,0.8,11.9
Georgia,2022-2023,47,11/26/2022 12:00:00 AM,Overall,Overall,Overall,0.7,12.6
Georgia,2022-2023,48,12/03/2022 12:00:00 AM,Overall,Overall,Overall,1.2,13.7
Georgia,2022-2023,49,12/10/2022 12:00:00 AM,Overall,Overall,Overall,1.5,15.3
Georgia,2022-2023,50,12/17/2022 12:00:00 AM,Overall,Overall,Overall,0.9,16.1
Georgia,2022-2023,51,12/24/2022 12:00:00 AM,Overall,Overall,Overall,0.6,16.8
Georgia,2022-2023,52,12/31/2022 12:00:00 AM,Overall,Overall,Overall,0.3,17.1
Georgia,2022-2023,1,01/07/2023 12:00:00 AM,Overall,Overall,Overall,0.8,17.9
